,Player,Mat,Inn,No,Runs_bat,HS,Avg_bat,BF,Sr_bat,Hund,Fif,Four,Six,Unnamed: 0,Mat,Inn,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4W,5W,Maid,Dots,Catches,Run Outs,Stumping,Pts,Price,Role
59,Nicholas Pooran,12,11,0,85,32,7.72,76,111.84,0,0,3,5,150,,,,,,,,,,,,,,3,0,0,32.5,4.20 crore,Batsman
60,Jason Holder,8,7,1,85,47,14.16,72,118.05,0,0,2,6,10,8,8,31.5,247,16,4/52,15.43,7.75,11.93,1,0,,75,2,0,0,162,2 crore,Bowler
61,Rashid Khan,14,10,2,83,22,10.37,69,120.28,0,0,9,2,6,14,14,56,375,18,3/36,20.83,6.69,18.66,0,0,,130,2,0,0,227.5,9 crore,Bowler
62,Priyam Garg,5,5,0,72,29,14.4,74,97.29,0,0,2,3,156,,,,,,,,,,,,,,0,0,0,15.5,1.90 crore,Batsman
63,Rajat Patidar,4,4,0,71,31,17.75,62,114.51,0,0,3,3,152,,,,,,,,,,,,,,1,0,0,20.5,20 lakhs,Batsman
64,Lalit Yadav,7,5,3,68,22,34,73,93.15,0,0,7,0,50,7,5,14,101,4,2/13,25.25,7.21,21,0,0,,21,5,0,0,65,20 lakhs,All-Rounder
65,Chris Morris,11,7,2,67,36,13.4,49,136.73,0,0,2,5,13,11,11,41,376,15,4/23,25.06,9.17,16.4,1,0,,91,4,1,0,177,16.5 crore,All-Rounder
66,Kyle Jamieson,9,7,3,65,16,16.25,55,118.18,0,0,5,3,30,9,9,28,269,9,3/41,29.88,9.6,18.66,0,0,,70,2,0,0,129.5,15 crore,Bowler
67,Harpreet Brar,7,5,5,64,25,0,58,110.34,0,0,3,2,40,7,7,23,139,5,3/19,27.8,6.04,27.6,0,0,1,56,2,0,0,93,20 lakhs,Batsman
68,Sunil Narine,14,10,2,62,26,7.75,47,131.91,0,0,3,5,9,14,14,56,361,16,4/21,22.56,6.44,21,1,0,,131,2,0,0,217,12.50 crore,All-Rounder
69,Shahbaz Ahmed,11,7,0,59,14,8.42,53,111.32,0,0,4,2,34,11,6,14,92,7,3/7,13.14,6.57,12,0,0,,21,4,0,0,72.5,20 lakh,Bowler
70,Harshal Patel,15,8,4,59,31,14.75,46,128.26,0,0,6,2,0,15,15,56.2,459,32,5/27,14.34,8.14,10.56,1,1,,122,3,1,0,264.5,20 lakhs,Bowler
71,Vijay Shankar,7,5,0,58,28,11.6,52,111.53,0,0,1,3,63,7,5,11,100,3,2/19,33.33,9.09,22,0,0,,22,3,1,0,54,3.20 crore,All-Rounder
72,Sam Curran,9,4,1,56,34,18.66,29,193.1,0,0,5,3,31,9,9,33,328,9,3/34,36.44,9.93,22,0,0,,76,1,1,0,134,5.50 crore,All-Rounder
73,Kedar Jadhav,6,5,1,55,19,13.75,52,105.76,0,0,2,2,155,,,,,,,,,,,,,,2,0,0,17,7.80 crore,All-Rounder
74,Chris Lynn,1,1,0,49,49,49,35,140,0,0,4,3,151,,,,,,,,,,,,,,2,0,0,25.5,2 crore,Batsman
75,Shakib Al Hasan,8,6,1,47,26,9.4,48,97.91,0,0,3,1,49,8,8,26,187,4,1/1,46.75,7.19,39,0,0,,50,3,2,0,84.5,3.2 crore,All-Rounder
76,Dwayne Bravo,11,3,2,47,23,47,18,261.11,0,0,3,4,14,11,11,33.4,263,14,3/24,18.78,7.81,14.42,0,0,,73,2,1,0,149.5,6.40 crore,All-Rounder
