Player, Mat, inn, ov, Runs, Wkts, BBI, Avg, Econ, SR, 4W, 5W
Harbhajan Singh,3,3,7,63,0,19,0.00,9.00,0.00,0,0
Tom Curran,3,3,11.2,104,4,19,26.00,9.17,17.00,0,0
Marcus Stoinis,10,8,11.1,117,2,17,58.50,10.47,33.50,0,0
Daniel Sams,2,2,6,39,1,15,39.00,6.50,36.00,0,0
Imran Tahir,1,1,4,16,2,14,8.00,4.00,12.00,0,0
Marco Jansen,2,2,6,45,2,14,22.50,7.50,18.00,0,0
Venkatesh Iyer,10,4,8.3,69,3,14,23.00,8.11,17.00,0,0
T Natarajan,2,2,8,69,2,14,34.50,8.62,24.00,0,0
Mahipal Lomror,4,4,7,47,1,13,47.00,6.71,42.00,0,0
Mohammad Nabi,3,3,8,86,2,13,43.00,10.75,24.00,0,0
Jagadeesha Suchith,2,2,7,66,0,11,0.00,9.42,0.00,0,0
Wanindu Hasaranga,2,2,6,60,0,11,0.00,10.00,0.00,0,0
Shreyas Gopal,3,3,7,84,0,11,0.00,12.00,0.00,0,0
Mujeeb Ur Rahman,1,1,4,29,2,10,14.50,7.25,12.00,0,0
Ishan Porel,1,1,4,39,1,10,39.00,9.75,24.00,0,0
Aiden Markram,6,2,4,23,0,9,0.00,5.75,0.00,0,0
Shahbaz Nadeem,1,1,4,36,1,9,36.00,9.00,24.00,0,0
Akash Singh,1,1,4,39,0,7,0.00,9.75,0.00,0,0
Shivam Dube,9,4,5,49,0,7,0.00,9.80,0.00,0,0
Riyan Parag,11,6,6.1,73,1,7,73.00,11.83,37.00,0,0
Dhawal Kulkarni,1,1,4,48,0,7,0.00,12.00,0.00,0,0
Sandeep Warrier,1,1,2,15,0,6,0.00,7.50,0.00,0,0
Lukman Meriwala,1,1,3,32,1,6,32.00,10.66,18.00,0,0
Adil Rashid,1,1,3,35,0,6,0.00,11.66,0.00,0,0
Nitish Rana,17,2,2,12,0,5,0.00,6.00,0.00,0,0
Ripal Patel,2,1,3,22,0,5,0.00,7.33,0.00,0,0
Kuldip Yadav,1,1,2,16,0,5,0.00,8.00,0.00,0,0
Jalaj Saxena,1,1,3,27,0,5,0.00,9.00,0.00,0,0
Kane Richardson,1,1,3,29,1,5,29.00,9.66,18.00,0,0
Navdeep Saini,2,2,4,52,0,5,0.00,13.00,0.00,0,0
Mayank Markande,1,1,3,26,0,4,0.00,8.66,0.00,0,0
Glenn Phillips,3,2,2,20,1,4,20.00,10.00,12.00,0,0
Piyush Chawla,1,1,4,38,1,3,38.00,9.50,24.00,0,0
KM Asif,1,1,2.1,18,1,2,18.00,8.30,13.00,0,0
Tabraiz Shamsi,1,1,4,34,0,2,0.00,8.50,0.00,0,0
Ben Stokes,1,1,1,12,0,2,0.00,12.00,0.00,0,0
Kamlesh Nagarkoti,1,1,2,25,0,2,0.00,12.50,0.00,0,0
Abdul Samad,11,1,1,9,1,1,9.00,9.00,6.00,0,0
