Player, Ov, Runs, Wkts, SR, Against, Venue, Match Date
Trent Boult,4,36,1,24,RCB,Chidambaram,09-Apr-21
Shahbaz Nadeem,4,36,1,24,RCB,Chidambaram,14-Apr-21
Siddarth Kaul,4,36,2,12,RR,Dubai International Stadium,27-Sep-21
Chetan Sakariya,4,36,3,8,CSK,Wankhede Stadium,19-Apr-21
Jasprit Bumrah,4,36,3,8,RCB,Dubai International Stadium,26-Sep-21
Rashid Khan,4,36,3,8,CSK,Arun Jaitley Stadium,28-Apr-21
Kagiso Rabada,4,36,3,8,PBKS,Narendra Modi Stadium,02-May-21
Pat Cummins,3.5,36,0,0,RR,Wankhede Stadium,24-Apr-21
Prasidh Krishna,3.3,36,0,0,DC,Narendra Modi Stadium,29-Apr-21
Shardul Thakur,3,36,0,0,DC,Dubai International Stadium,10-Oct-21
Chetan Sakariya,3,36,1,18,MI,Sharjah Cricket Stadium,05-Oct-21
Ravi Bishnoi,4,35,0,0,RCB,Sharjah Cricket Stadium,03-Oct-21
Nathan Coulter-Nile,4,35,0,0,RR,Arun Jaitley Stadium,29-Apr-21
Jaydev Unadkat,4,35,0,0,KKR,Sharjah Cricket Stadium,07-Oct-21
Shardul Thakur,4,35,0,0,PBKS,Wankhede Stadium,16-Apr-21
Chetan Sakariya,4,35,0,0,RCB,Wankhede Stadium,22-Apr-21
Avesh Khan,4,35,1,24,CSK,Dubai International Stadium,04-Oct-21
Sam Curran,4,35,1,24,RCB,Wankhede Stadium,25-Apr-21
Deepak Chahar,4,35,1,24,RCB,Sharjah Cricket Stadium,24-Sep-21
Prasidh Krishna,4,35,2,12,SRH,Chidambaram,11-Apr-21
Arshdeep Singh,4,35,2,12,CSK,Dubai International Stadium,07-Oct-21
Trent Boult,4,35,2,12,CSK,Dubai International Stadium,19-Sep-21
Lungi Ngidi,4,35,2,12,SRH,Arun Jaitley Stadium,28-Apr-21
Arshdeep Singh,4,35,3,8,RR,Wankhede Stadium,12-Apr-21
Tom Curran,3.4,35,0,0,RR,Wankhede Stadium,15-Apr-21
Riley Meredith,3.4,35,1,22,DC,Narendra Modi Stadium,02-May-21
Sandeep Sharma,3,35,0,0,KKR,Chidambaram,11-Apr-21
Shreyas Gopal,3,35,0,0,RCB,Wankhede Stadium,22-Apr-21
Adil Rashid,3,35,0,0,RR,Dubai International Stadium,21-Sep-21
Lalit Yadav,3,35,1,18,KKR,Sharjah Cricket Stadium,28-Sep-21
Riley Meredith,2.2,35,1,14,DC,Wankhede Stadium,18-Apr-21
Josh Hazlewood,4,34,0,0,RCB,Sharjah Cricket Stadium,24-Sep-21
Tabraiz Shamsi,4,34,0,0,DC,Zayed Cricket Stadium,25-Sep-21
Bhuvneshwar Kumar,4,34,0,0,CSK,Sharjah Cricket Stadium,30-Sep-21
Ishant Sharma,4,34,0,0,KKR,Narendra Modi Stadium,29-Apr-21
Varun Chakaravarthy,4,34,0,0,DC,Narendra Modi Stadium,29-Apr-21
Sunil Narine,4,34,1,24,PBKS,Dubai International Stadium,01-Oct-21
Yuzvendra Chahal,4,34,1,24,PBKS,Narendra Modi Stadium,30-Apr-21
Josh Hazlewood,4,34,1,24,MI,Dubai International Stadium,19-Sep-21
Bhuvneshwar Kumar,4,34,1,24,PBKS,Sharjah Cricket Stadium,25-Sep-21
Harshal Patel,4,34,1,24,DC,Dubai International Stadium,08-Oct-21
Sunil Narine,4,34,1,24,CSK,Wankhede Stadium,21-Apr-21
